,1330_open,1330_high,1330_low,1330_close,1330_volume,6702_open,6702_high,6702_low,6702_close,6702_volume,USD,EUR,1y,5y,9y,dji_Open,dji_High,dji_Low,dji_Close,dji_Volume
2002-04-01,11110,11200,11050,11070,156.8,1011.0,1017.0,989.0,989.0,3962,133.15,116.12,0.028,0.54,1.307,10429.679688,10502.610352,10403.730469,10403.94043,179480000
2002-04-02,11170,11260,11100,11250,88.83,995.0,1037.0,980.0,1034.0,5966,133.2,117.18,0.027,0.522,1.294,10429.679688,10502.610352,10403.730469,10403.94043,179480000
2002-04-03,11100,11520,11050,11440,188.01,1013.0,1074.0,1006.0,1061.0,9259,133.2,116.96,0.027,0.523,1.297,10402.070313,10402.070313,10263.679688,10362.700195,173820000
2002-04-04,11430,11590,11380,11420,112.3,1080.0,1094.0,1061.0,1079.0,9306,133.1,117.15,0.027,0.509,1.294,10352.459961,10352.459961,10264.860352,10313.709961,191170000
2002-04-05,11400,11460,11330,11390,124.8,1059.0,1070.0,1040.0,1050.0,5239,132.3,116.32,0.027,0.513,1.2830000000000001,10311.80957,10339.860352,10139.480469,10198.290039,217770000
2002-04-08,11380,11480,11310,11420,50.56,1029.0,1039.0,1021.0,1023.0,6173,131.55,115.69,0.032,0.513,1.264,10235.799805,10335.299805,10217.389648,10271.639648,181160000
2002-04-09,11350,11410,11170,11180,160.64,1005.0,1010.0,990.0,993.0,9534,131.55,115.05,0.031,0.527,1.2930000000000001,10235.799805,10335.299805,10217.389648,10271.639648,181160000
2002-04-10,11140,11330,11080,11240,223.29,977.0,998.0,962.0,984.0,9822,130.7,115.16,0.031,0.509,1.274,10258.910156,10258.910156,10120.870117,10249.080078,220420000
2002-04-11,11390,11390,11200,11240,87.1,1004.0,1011.0,975.0,981.0,4735,131.1,115.41,0.031,0.495,1.255,10249.839844,10304.990234,10201.129883,10208.669922,239080000
2002-04-12,11100,11180,10950,11040,332.8,962.0,971.0,950.0,964.0,7777,131.55,115.99,0.031,0.518,1.284,10210.400391,10394.669922,10210.400391,10381.730469,267700000
2002-04-15,11050,11180,10990,11160,97.59,974.0,989.0,967.0,988.0,5174,132.2,116.38,0.03,0.505,1.2670000000000001,10178.570313,10237.94043,10138.650391,10190.820313,231400000
2002-04-16,11160,11400,11160,11350,160.55,987.0,1010.0,980.0,1006.0,5287,131.85,116.01,0.03,0.515,1.281,10178.570313,10237.94043,10138.650391,10190.820313,231400000
2002-04-17,11510,11600,11440,11580,214.76,1020.0,1034.0,1017.0,1025.0,5869,130.95,115.59,0.03,0.522,1.301,10189.570313,10225.759766,10070.490234,10093.669922,231610000
2002-04-18,11500,11670,11500,11600,238.85,1015.0,1024.0,998.0,1015.0,5964,130.6,116.31,0.03,0.527,1.311,10100.379883,10308.169922,10100.110352,10301.320313,253910000
2002-04-19,11510,11580,11440,11570,140.91,985.0,998.0,976.0,985.0,5593,130.1,115.93,0.03,0.521,1.298,10299.660156,10326.44043,10188.259766,10220.780273,254320000
2002-04-22,11600,11800,11600,11780,173.74,1010.0,1038.0,1010.0,1028.0,5718,130.3,115.99,0.029,0.523,1.307,10212.69043,10270.879883,10212.69043,10257.110352,249560000
2002-04-23,11630,11860,11610,11770,127.92,1024.0,1050.0,1015.0,1037.0,5824,129.9,115.4,0.03,0.5329999999999999,1.32,10212.69043,10270.879883,10212.69043,10257.110352,249560000
2002-04-24,11790,11850,11700,11720,87.35,1050.0,1064.0,1032.0,1045.0,6248,130.25,115.68,0.03,0.547,1.331,10256.0,10256.0,10109.240234,10136.429688,207120000
2002-04-25,11610,11750,11610,11670,63.77,1050.0,1079.0,1040.0,1060.0,18625,129.45,115.57,0.03,0.5539999999999999,1.331,10137.200195,10177.129883,10069.459961,10089.240234,238640000
2002-04-26,11720,11740,11510,11600,113.66,1080.0,1081.0,1047.0,1057.0,8643,128.75,115.62,0.03,0.536,1.315,10090.070313,10163.419922,10027.660156,10030.429688,219790000
2002-04-30,11550,11580,11500,11560,77.08,1060.0,1060.0,1010.0,1020.0,7417,128.35,115.93,0.03,0.502,1.27,10037.419922,10082.669922,9910.719727,9910.719727,213180000
2002-05-01,11620,11640,11560,11570,74.06,1011.0,1025.0,995.0,996.0,7574,128.6,115.7,0.03,0.494,1.268,9910.519531,9937.089844,9811.570313,9819.870117,211930000
2002-05-02,11650,11660,11570,11600,50.64,986.0,986.0,967.0,981.0,10150,127.45,115.62,0.026,0.5,1.272,9818.900391,10006.280273,9818.900391,9946.219727,271250000
2002-05-07,11490,11510,11300,11360,156.87,961.0,962.0,915.0,922.0,24132,127.0,116.6,0.03,0.499,1.2590000000000001,10091.730469,10092.080078,9943.709961,10006.629883,227940000
2002-05-08,11410,11630,11410,11560,108.89,902.0,904.0,883.0,890.0,48669,128.2,117.0,0.03,0.512,1.268,10005.799805,10023.860352,9807.69043,9808.040039,213910000
2002-05-09,11800,11800,11660,11700,129.54,913.0,921.0,901.0,904.0,48750,128.9,116.62,0.03,0.505,1.258,9810.530273,9919.030273,9810.530273,9836.549805,270090000
2002-05-10,11590,11630,11570,11610,50.88,900.0,904.0,893.0,900.0,14893,128.65,117.08,0.03,0.502,1.255,9847.959961,10148.94043,9847.959961,10141.830078,281990000
2002-05-13,11510,11590,11360,11390,165.07,893.0,895.0,881.0,886.0,8797,127.3,116.36,0.03,0.499,1.261,10040.25,10062.049805,9922.349609,9939.919922,212260000
2002-05-14,11540,11550,11380,11400,102.41,896.0,901.0,894.0,898.0,7680,127.9,116.45,0.03,0.489,1.254,10040.25,10062.049805,9922.349609,9939.919922,212260000
2002-05-15,11600,11740,11580,11700,214.39,916.0,929.0,910.0,916.0,12249,128.45,115.85,0.03,0.474,1.246,9938.820313,10110.969727,9920.200195,10109.660156,201420000
2002-05-16,11680,11790,11630,11770,103.42,919.0,937.0,914.0,934.0,6453,127.8,116.41,0.03,0.48,1.2409999999999999,10119.339844,10304.44043,10119.339844,10298.139648,254830000
2002-05-17,11820,11970,11820,11900,333.88,941.0,952.0,940.0,943.0,9734,127.75,116.55,0.03,0.486,1.246,10288.55957,10349.070313,10223.69043,10243.679688,254000000
