
収束にどれだかかかるか確認してみた。
ログが流れて行っている、、、
さくっとshow_predict.pyが動かなかったので、Model Classを分離することにした。
なので、まだ、生データは見ていない。

tensorboardデータとmodelはこのディレクトリに一応保存済み

2019/04/02 18:10:53: step 185250, loss 0.001, acc 0.983, std 0.042
2019/04/02 18:11:04: step 185300, loss 0.001, acc 0.989, std 0.041
2019/04/02 18:11:14: step 185350, loss 0.000, acc 0.991, std 0.042
2019/04/02 18:11:25: step 185400, loss 0.000, acc 0.985, std 0.043
2019/04/02 18:11:35: step 185450, loss 0.001, acc 0.994, std 0.040
2019/04/02 18:11:46: step 185500, loss 0.001, acc 0.988, std 0.040
2019/04/02 18:11:57: step 185550, loss 0.001, acc 0.990, std 0.039
2019/04/02 18:12:07: step 185600, loss 0.001, acc 0.988, std 0.039
2019/04/02 18:12:18: step 185650, loss 0.001, acc 0.987, std 0.040
2019/04/02 18:12:28: step 185700, loss 0.000, acc 0.987, std 0.041
2019/04/02 18:12:39: step 185750, loss 0.001, acc 0.985, std 0.042
2019/04/02 18:12:49: step 185800, loss 0.000, acc 0.983, std 0.040
2019/04/02 18:13:00: step 185850, loss 0.000, acc 0.988, std 0.040
2019/04/02 18:13:11: step 185900, loss 0.000, acc 0.983, std 0.043
2019/04/02 18:13:21: step 185950, loss 0.001, acc 0.986, std 0.041
2019/04/02 18:13:32: step 186000, loss 0.001, acc 0.985, std 0.044
2019/04/02 18:13:43: step 186050, loss 0.000, acc 0.989, std 0.040
2019/04/02 18:13:53: step 186100, loss 0.000, acc 0.985, std 0.042
2019/04/02 18:14:04: step 186150, loss 0.001, acc 0.979, std 0.042
2019/04/02 18:14:15: step 186200, loss 0.001, acc 0.982, std 0.043
2019/04/02 18:14:26: step 186250, loss 0.001, acc 0.986, std 0.041
2019/04/02 18:14:37: step 186300, loss 0.001, acc 0.983, std 0.043
2019/04/02 18:14:48: step 186350, loss 0.001, acc 0.987, std 0.042
2019/04/02 18:14:58: step 186400, loss 0.001, acc 0.984, std 0.041
2019/04/02 18:15:09: step 186450, loss 0.001, acc 0.987, std 0.041
2019/04/02 18:15:19: step 186500, loss 0.001, acc 0.988, std 0.040
