,6702_low
2016-06-10,419.225
2016-06-13,413.39178
2016-06-14,398.13303
2016-06-15,388.23138
2016-06-16,399.27435
2016-06-17,385.63846
2016-06-20,387.78003
2016-06-21,403.34534
2016-06-22,404.55447
2016-06-23,403.61133
2016-06-24,415.1214
2016-06-27,377.72064
2016-06-28,367.70273
2016-06-29,357.7621
2016-06-30,371.92368
2016-07-01,368.6767
2016-07-04,376.72113
2016-07-05,376.9522
2016-07-06,380.7624
2016-07-07,362.06555
2016-07-08,360.48956
2016-07-11,356.78653
2016-07-12,368.52942
2016-07-13,380.54382
2016-07-14,389.82007
2016-07-15,385.0143
2016-07-19,387.59912
2016-07-20,398.92773
2016-07-21,392.86804
2016-07-22,399.64008
2016-07-25,385.9223
2016-07-26,390.12158
2016-07-27,385.78476
2016-07-28,400.90326
2016-07-29,390.52808
2016-08-01,412.0959
2016-08-02,411.67105
2016-08-03,408.55536
2016-08-04,393.89203
2016-08-05,408.37238
2016-08-08,413.13235
2016-08-09,423.02127
2016-08-10,427.1974
2016-08-12,422.0373
2016-08-15,429.71902
2016-08-16,429.1501
2016-08-17,439.87946
2016-08-18,447.96844
2016-08-19,447.6143
2016-08-22,487.33923
2016-08-23,500.13123
2016-08-24,493.24
2016-08-25,499.7782
2016-08-26,493.80695
2016-08-29,489.4996
2016-08-30,497.3552
2016-08-31,498.26172
2016-09-01,509.43552
2016-09-02,509.29773
2016-09-05,510.68655
2016-09-06,524.0158
2016-09-07,521.9216
2016-09-08,514.9394
2016-09-09,519.5996
2016-09-12,521.2648
2016-09-13,516.8275
2016-09-14,518.7522
2016-09-15,517.252
2016-09-16,515.5588
2016-09-20,513.38477
2016-09-21,523.3716
2016-09-23,535.9445
2016-09-26,526.631
2016-09-27,529.8695
2016-09-28,528.7864
2016-09-29,527.8847
2016-09-30,536.5379
2016-10-03,530.3492
2016-10-04,531.30615
2016-10-05,538.6595
2016-10-06,531.96643
2016-10-07,552.7316
2016-10-11,546.6936
2016-10-12,551.35675
2016-10-13,541.4223
2016-10-14,542.1578
2016-10-17,552.9551
2016-10-18,554.5862
2016-10-19,562.2857
2016-10-20,554.60205
2016-10-21,546.508
2016-10-24,561.6935
2016-10-25,551.3954
2016-10-26,556.7434
2016-10-27,542.8409
2016-10-28,551.6906
2016-10-31,567.95575
2016-11-01,583.0943
2016-11-02,620.3235
2016-11-04,600.18115
2016-11-07,591.5638
2016-11-08,606.29126
2016-11-09,605.9955
2016-11-10,587.3634
2016-11-11,619.64417
2016-11-14,614.0626
2016-11-15,632.20776
2016-11-16,641.2702
2016-11-17,657.269
2016-11-18,644.3966
2016-11-21,656.1616
2016-11-22,644.9607
2016-11-24,648.00934
2016-11-25,656.60944
2016-11-28,639.0359
2016-11-29,651.8934
2016-11-30,644.00415
2016-12-01,652.6547
2016-12-02,668.30414
2016-12-05,672.5371
2016-12-06,671.6754
2016-12-07,664.723
2016-12-08,674.55804
2016-12-09,706.6191
2016-12-12,712.3618
2016-12-13,704.53265
2016-12-14,694.91956
2016-12-15,697.6776
2016-12-16,698.414
2016-12-19,690.26685
2016-12-20,659.03326
2016-12-21,697.61914
2016-12-22,676.7477
2016-12-26,655.9828
2016-12-27,656.4682
2016-12-28,648.3489
2016-12-29,651.71313
2016-12-30,638.44446
2017-01-04,641.16675
2017-01-05,644.8537
2017-01-06,674.9738
2017-01-10,686.18835
2017-01-11,667.4242
2017-01-12,678.3615
2017-01-13,658.1007
2017-01-16,670.9298
2017-01-17,670.93384
2017-01-18,664.7151
2017-01-19,655.718
2017-01-20,678.558
2017-01-23,675.6851
2017-01-24,665.5763
2017-01-25,682.6305
2017-01-26,689.98206
2017-01-27,697.151
2017-01-30,696.00226
2017-01-31,692.20996
2017-02-01,653.98846
2017-02-02,683.9119
2017-02-03,677.2136
2017-02-06,677.4731
2017-02-07,678.40735
2017-02-08,686.9833
2017-02-09,650.8144
2017-02-10,630.52594
2017-02-13,641.33856
2017-02-14,639.2349
2017-02-15,646.204
2017-02-16,644.5421
2017-02-17,658.40326
2017-02-20,649.2357
2017-02-21,658.9761
2017-02-22,661.37054
2017-02-23,663.75415
2017-02-24,666.2791
2017-02-27,658.9691
2017-02-28,651.9177
2017-03-01,655.3945
2017-03-02,651.6737
2017-03-03,654.5677
2017-03-06,660.8635
2017-03-07,660.7196
2017-03-08,653.28613
2017-03-09,651.44806
2017-03-10,651.77185
2017-03-13,663.08325
2017-03-14,664.42224
2017-03-15,676.8972
2017-03-16,674.8343
2017-03-17,669.3926
2017-03-21,672.4684
2017-03-22,670.5525
2017-03-23,651.2313
2017-03-24,654.9944
