,6702_open,6702_close,6702_low
2016-06-10,421.11145,420.6139,415.51627
2016-06-13,413.1044,412.32892,407.01062
2016-06-14,403.74188,403.0336,397.8411
2016-06-15,391.74,390.95026,386.0134
2016-06-16,396.5747,395.70407,391.04053
2016-06-17,389.85315,388.96436,384.32852
2016-06-20,391.50775,390.3373,385.65942
2016-06-21,414.52853,412.2652,408.50623
2016-06-22,403.28464,402.18,397.66418
2016-06-23,403.4809,402.79553,398.0805
2016-06-24,418.05023,417.60205,413.07138
2016-06-27,384.58636,383.2981,378.3421
2016-06-28,366.98807,365.2602,360.9926
2016-06-29,357.54407,356.41943,351.7644
2016-06-30,371.29654,370.6652,366.31415
2016-07-01,373.3672,372.4286,368.00238
2016-07-04,377.35373,376.7204,372.4397
2016-07-05,375.20642,374.8396,370.49994
2016-07-06,376.49933,375.99597,371.68182
2016-07-07,348.5708,347.5432,343.11472
2016-07-08,356.6936,356.21616,352.1157
2016-07-11,351.5932,351.1164,347.08478
2016-07-12,363.96167,363.4486,359.88635
2016-07-13,381.8671,380.88812,377.13837
2016-07-14,390.41174,389.29184,385.46368
2016-07-15,386.61462,386.03406,382.10156
2016-07-19,391.8523,390.95883,386.87772
2016-07-20,398.60242,397.8414,393.86548
2016-07-21,396.69553,396.18066,392.22058
2016-07-22,401.90576,400.95575,396.95416
2016-07-25,390.41614,389.86444,385.53412
2016-07-26,396.90274,396.63583,392.35056
2016-07-27,389.1021,388.95715,384.54684
2016-07-28,400.94366,400.3674,396.33917
2016-07-29,394.26282,393.78265,389.73175
2016-08-01,416.96042,415.58624,411.56165
2016-08-02,422.5899,421.50146,417.1994
2016-08-03,417.62503,417.08386,412.62857
2016-08-04,398.34387,397.52792,392.8908
2016-08-05,413.0221,412.20425,408.11945
2016-08-08,421.2682,420.64825,416.60217
2016-08-09,433.5644,432.92383,429.04803
2016-08-10,431.95605,431.24527,427.064
2016-08-12,427.52768,427.05734,422.8527
2016-08-15,439.2974,438.78577,434.82294
2016-08-16,436.50476,436.3786,432.2116
2016-08-17,444.6654,444.07593,439.60803
2016-08-18,456.05325,455.58765,450.951
2016-08-19,457.88977,457.47995,452.56735
2016-08-22,497.27066,495.9509,491.53644
2016-08-23,510.128,509.8366,504.52707
2016-08-24,498.85724,498.97693,493.1758
2016-08-25,505.00427,505.00516,499.4497
2016-08-26,500.23605,500.21646,494.6054
2016-08-29,496.40256,496.22894,490.70203
2016-08-30,500.39758,499.71228,494.41876
2016-08-31,507.05298,506.7996,501.36722
2016-09-01,517.4105,516.8352,511.45764
2016-09-02,520.70667,519.88824,514.4144
2016-09-05,521.38666,520.98645,515.3164
2016-09-06,534.65454,533.83765,528.35114
2016-09-07,532.1818,531.3154,525.41327
2016-09-08,516.8155,516.02264,509.95056
2016-09-09,525.18463,524.50684,518.5391
2016-09-12,527.7462,527.0511,521.0082
2016-09-13,525.52374,524.6371,518.63855
2016-09-14,527.03815,526.3273,520.4526
2016-09-15,512.99207,511.858,506.06683
2016-09-16,515.10065,513.95905,508.5008
2016-09-20,519.2739,518.4863,512.94666
2016-09-21,521.81726,521.10925,515.4039
2016-09-23,540.88824,540.1564,534.39355
2016-09-26,538.8757,538.7955,532.39545
2016-09-27,537.6881,537.8123,531.43823
2016-09-28,528.4753,528.1169,521.89154
2016-09-29,531.9899,531.71075,525.83966
2016-09-30,545.3995,544.7776,539.0785
2016-10-03,531.74774,530.90216,524.9528
2016-10-04,543.90796,543.03546,537.6069
2016-10-05,545.2076,544.7108,538.9909
2016-10-06,535.3696,534.69653,528.8893
2016-10-07,569.5559,568.02325,562.333
2016-10-11,567.3933,567.20135,560.40393
2016-10-12,565.0628,565.1481,558.18225
2016-10-13,548.5632,548.1997,541.4419
2016-10-14,549.97986,549.3118,542.85925
2016-10-17,561.1003,559.5064,553.1572
2016-10-18,569.9903,569.0027,562.4239
2016-10-19,577.4102,576.7245,570.1724
2016-10-20,566.91223,566.04297,559.3139
2016-10-21,557.15753,556.0585,549.2347
2016-10-24,574.8891,573.7192,567.2991
2016-10-25,563.1815,561.6035,555.3352
2016-10-26,567.18005,565.4632,559.5295
2016-10-27,548.28644,546.41736,540.0229
2016-10-28,581.07715,578.0844,571.4668
2016-10-31,609.06793,607.23456,599.9351
2016-11-01,625.0911,624.4442,616.1893
2016-11-02,623.2084,621.90027,614.2475
2016-11-04,609.32086,607.4865,600.0106
2016-11-07,599.0444,597.17505,589.909
2016-11-08,612.17053,609.66565,602.9327
2016-11-09,612.1067,609.6907,602.9876
2016-11-10,588.6708,586.12573,578.76556
2016-11-11,632.6147,629.0063,622.5284
2016-11-14,639.0975,636.1843,629.0015
2016-11-15,642.4414,639.9762,632.63574
2016-11-16,652.62177,649.4824,642.01733
2016-11-17,663.4845,660.3185,652.83685
2016-11-18,658.9252,655.92334,647.96484
2016-11-21,658.9548,655.695,647.9221
2016-11-22,653.5097,650.1943,642.4785
2016-11-24,649.7087,646.3876,638.53015
2016-11-25,660.03613,656.55206,648.55835
2016-11-28,651.75104,648.51953,640.2439
2016-11-29,656.7048,653.9313,645.5731
2016-11-30,651.3393,647.9789,639.9357
2016-12-01,666.54456,662.88354,654.4092
2016-12-02,691.93896,687.7919,679.8951
2016-12-05,683.9898,680.45355,672.5197
2016-12-06,673.88116,670.3291,662.49316
2016-12-07,660.11066,653.8307,647.8172
2016-12-08,664.193,657.9019,651.59924
2016-12-09,700.2845,692.74036,686.35583
2016-12-12,705.0166,697.8492,691.8338
2016-12-13,696.65594,688.6,683.1773
2016-12-14,686.90405,678.2145,673.3388
2016-12-15,688.0801,678.87555,674.2412
2016-12-16,686.2179,676.4989,672.23145
2016-12-19,679.1539,669.48785,665.07306
2016-12-20,664.85657,653.9679,650.58936
2016-12-21,676.51953,666.68823,662.3103
2016-12-22,665.9393,657.1441,652.3897
2016-12-26,652.6409,644.52856,639.158
2016-12-27,652.8713,645.8196,639.7004
2016-12-28,653.4898,646.9455,640.4547
2016-12-29,651.72894,645.341,638.83856
2016-12-30,638.10925,631.8578,625.3138
2017-01-04,638.7561,632.8779,626.03455
