,1330_close,1330_high,1330_low,1330_open,1330_volume,1y,5y,6701_close,6701_high,6701_low,6701_open,6701_volume,6702_close,6702_high,6702_low,6702_open,6702_volume,6703_close,6703_high,6703_low,6703_open,6703_volume,9y,EUR,USD,dji_Close,dji_High,dji_Low,dji_Open,dji_Volume
2002-04-01,11070.0,11200.0,11050.0,11170.0,156.8,0.028,0.54,10720.0,10890.0,10720.0,10810.0,263.2,989.0,1017.0,989.0,995.0,3962.0,3100.0,3140.0,3050.0,3110.0,141.7,1.307,116.12,133.15,10403.94,10502.61,10403.73,10429.68,179480000.0
2002-04-02,11250.0,11260.0,11100.0,11100.0,88.83,0.027,0.522,11190.0,11190.0,10720.0,10820.0,533.7,1034.0,1037.0,980.0,1013.0,5966.0,3140.0,3160.0,3050.0,3060.0,236.6,1.294,117.18,133.2,10362.7,10402.07,10263.68,10402.07,173820000.0
2002-04-03,11440.0,11520.0,11050.0,11430.0,188.01,0.027,0.523,11310.0,11470.0,10790.0,11560.0,846.0,1061.0,1074.0,1006.0,1080.0,9259.0,3230.0,3280.0,3050.0,3230.0,266.6,1.297,116.96,133.2,10313.71,10352.46,10264.86,10352.46,191170000.0
2002-04-04,11420.0,11590.0,11380.0,11400.0,112.3,0.027,0.509,11480.0,11580.0,11300.0,11210.0,795.5,1079.0,1094.0,1061.0,1059.0,9306.0,3150.0,3250.0,3150.0,3120.0,186.6,1.294,117.15,133.1,10198.29,10339.86,10139.48,10311.81,217770000.0
2002-04-05,11390.0,11460.0,11330.0,11380.0,124.8,0.027,0.513,10960.0,11320.0,10830.0,11030.0,779.2,1050.0,1070.0,1040.0,1029.0,5239.0,3100.0,3140.0,3080.0,3100.0,307.6,1.283,116.32,132.3,10235.17,10261.88,10157.26,10199.54,214030000.0
2002-04-08,11420.0,11480.0,11310.0,11350.0,50.56,0.032,0.513,10950.0,11220.0,10880.0,10750.0,829.0,1023.0,1039.0,1021.0,1005.0,6173.0,3130.0,3160.0,3090.0,3180.0,193.0,1.264,115.69,131.55,10271.64,10335.3,10217.39,10235.8,181160000.0
2002-04-09,11180.0,11410.0,11170.0,11140.0,160.64,0.031,0.527,10390.0,10840.0,10390.0,10300.0,1347.0,993.0,1010.0,990.0,977.0,9534.0,3070.0,3190.0,3070.0,3050.0,302.0,1.293,115.05,131.55,10249.08,10258.91,10120.87,10258.91,220420000.0
2002-04-10,11240.0,11330.0,11080.0,11390.0,223.29,0.031,0.509,10420.0,10540.0,10150.0,10550.0,670.1,984.0,998.0,962.0,1004.0,9822.0,3120.0,3130.0,3030.0,3180.0,329.2,1.274,115.16,130.7,10208.67,10304.99,10201.13,10249.84,239080000.0
2002-04-11,11240.0,11390.0,11200.0,11100.0,87.1,0.031,0.495,10170.0,10630.0,10090.0,9870.0,856.4,981.0,1011.0,975.0,962.0,4735.0,3150.0,3210.0,3130.0,3120.0,345.9,1.255,115.41,131.1,10381.73,10394.67,10210.4,10210.4,267700000.0
2002-04-12,11040.0,11180.0,10950.0,11050.0,332.8,0.031,0.518,9930.0,10010.0,9780.0,9950.0,1547.1,964.0,971.0,950.0,974.0,7777.0,3070.0,3140.0,3050.0,3080.0,387.5,1.284,115.99,131.55,10176.08,10378.89,10154.28,10378.89,309050000.0
2002-04-15,11160.0,11180.0,10990.0,11160.0,97.59,0.03,0.505,10130.0,10140.0,9820.0,9990.0,1104.4,988.0,989.0,967.0,987.0,5174.0,3160.0,3160.0,3070.0,3210.0,206.6,1.267,116.38,132.2,10190.82,10237.94,10138.65,10178.57,231400000.0
2002-04-16,11350.0,11400.0,11160.0,11510.0,160.55,0.03,0.515,10140.0,10140.0,9900.0,10300.0,1144.3,1006.0,1010.0,980.0,1020.0,5287.0,3280.0,3290.0,3160.0,3350.0,439.3,1.281,116.01,131.85,10093.67,10225.76,10070.49,10189.57,231610000.0
