,6702_low,6702_close
2016-06-09,433.5456,435.65253
2016-06-10,432.59085,435.1166
2016-06-13,419.2597,422.32648
2016-06-14,410.5438,412.95538
2016-06-15,400.29788,402.90903
2016-06-16,413.37198,415.6293
2016-06-17,398.29358,400.56577
2016-06-20,417.56363,420.30862
2016-06-21,413.69092,416.18152
2016-06-22,416.0735,418.03894
2016-06-23,418.11014,420.4638
2016-06-24,434.24103,435.784
2016-06-27,385.828,388.6515
2016-06-28,370.5957,373.75528
2016-06-29,372.69147,375.54886
2016-06-30,385.76242,387.72375
2016-07-01,384.50122,387.08575
2016-07-04,385.2989,387.39355
2016-07-05,391.74887,393.7213
2016-07-06,380.81653,382.98343
2016-07-07,366.01953,369.1625
2016-07-08,367.25146,369.84796
2016-07-11,369.2628,371.6155
2016-07-12,386.19,388.0899
2016-07-13,404.3048,406.69897
2016-07-14,398.25012,400.78763
2016-07-15,403.75177,405.91986
2016-07-19,409.29053,411.8683
2016-07-20,409.6128,411.85028
2016-07-21,414.3537,416.41602
2016-07-22,407.4843,409.88986
2016-07-25,406.31985,408.8336
2016-07-26,403.8167,406.15488
2016-07-27,409.6411,411.88293
2016-07-28,408.47516,410.52628
2016-07-29,416.41638,418.46704
2016-08-01,426.0969,428.7896
2016-08-02,438.11053,440.3575
2016-08-03,416.4757,418.95123
2016-08-04,416.33398,418.91776
2016-08-05,431.34787,433.674
2016-08-08,441.10474,442.95825
2016-08-09,444.5975,446.48856
2016-08-10,444.8049,447.01016
2016-08-12,446.5537,448.73212
2016-08-15,448.26376,450.3265
2016-08-16,453.44232,455.48355
2016-08-17,459.91388,462.91205
2016-08-18,469.005,471.99173
2016-08-19,478.93732,482.00012
2016-08-22,507.1021,512.1115
2016-08-23,504.09296,508.3659
2016-08-24,501.2797,505.69812
2016-08-25,506.34482,510.52692
2016-08-26,499.2838,503.2893
2016-08-29,507.80045,511.42224
2016-08-30,496.54645,500.8841
2016-08-31,514.8684,518.4949
2016-09-01,521.7828,526.26965
2016-09-02,517.0585,522.13525
2016-09-05,527.4249,532.24713
2016-09-06,534.9592,540.10126
2016-09-07,524.00714,530.1525
2016-09-08,527.31177,533.51953
2016-09-09,523.4875,529.59894
2016-09-12,529.8751,535.6001
2016-09-13,522.91406,528.5319
2016-09-14,520.16034,524.9831
2016-09-15,514.02496,518.8477
2016-09-16,520.9875,525.45166
2016-09-20,514.2768,518.5974
2016-09-21,530.6935,535.3756
2016-09-23,541.28503,546.6212
2016-09-26,530.758,536.44476
2016-09-27,528.66296,533.88074
2016-09-28,530.18445,535.23694
